,N,NMISS,MODE,FREQ,PERCENT
protocol_type_tcp,125972.0,0.0,1.0,102688.0,81.52
protocol_type_udp,125972.0,0.0,0.0,110979.0,88.1
service_X11,125972.0,0.0,0.0,125899.0,99.94
service_Z39_50,125972.0,0.0,0.0,125110.0,99.32
service_aol,125972.0,0.0,0.0,125970.0,100.0
service_auth,125972.0,0.0,0.0,125017.0,99.24
service_bgp,125972.0,0.0,0.0,125262.0,99.44
service_courier,125972.0,0.0,0.0,125238.0,99.42
service_csnet_ns,125972.0,0.0,0.0,125427.0,99.57
service_ctf,125972.0,0.0,0.0,125409.0,99.55
service_daytime,125972.0,0.0,0.0,125451.0,99.59
service_discard,125972.0,0.0,0.0,125434.0,99.57
service_domain,125972.0,0.0,0.0,125403.0,99.55
service_domain_u,125972.0,0.0,0.0,116929.0,92.82
service_echo,125972.0,0.0,0.0,125538.0,99.66
service_eco_i,125972.0,0.0,0.0,121386.0,96.36
service_ecr_i,125972.0,0.0,0.0,122895.0,97.56
service_efs,125972.0,0.0,0.0,125487.0,99.61
service_exec,125972.0,0.0,0.0,125498.0,99.62
service_finger,125972.0,0.0,0.0,124205.0,98.6
service_ftp,125972.0,0.0,0.0,124218.0,98.61
service_ftp_data,125972.0,0.0,0.0,119113.0,94.56
service_gopher,125972.0,0.0,0.0,125454.0,99.59
service_harvest,125972.0,0.0,0.0,125970.0,100.0
service_hostnames,125972.0,0.0,0.0,125512.0,99.63
service_http,125972.0,0.0,0.0,85634.0,67.98
service_http_2784,125972.0,0.0,0.0,125971.0,100.0
service_http_443,125972.0,0.0,0.0,125442.0,99.58
service_http_8001,125972.0,0.0,0.0,125970.0,100.0
service_imap4,125972.0,0.0,0.0,125325.0,99.49
service_iso_tsap,125972.0,0.0,0.0,125285.0,99.45
service_klogin,125972.0,0.0,0.0,125539.0,99.66
service_kshell,125972.0,0.0,0.0,125673.0,99.76
service_ldap,125972.0,0.0,0.0,125562.0,99.67
service_link,125972.0,0.0,0.0,125497.0,99.62
service_login,125972.0,0.0,0.0,125543.0,99.66
service_mtp,125972.0,0.0,0.0,125533.0,99.65
service_name,125972.0,0.0,0.0,125521.0,99.64
service_netbios_dgm,125972.0,0.0,0.0,125567.0,99.68
service_netbios_ns,125972.0,0.0,0.0,125625.0,99.72
service_netbios_ssn,125972.0,0.0,0.0,125610.0,99.71
service_netstat,125972.0,0.0,0.0,125612.0,99.71
service_nnsp,125972.0,0.0,0.0,125342.0,99.5
service_nntp,125972.0,0.0,0.0,125676.0,99.77
service_ntp_u,125972.0,0.0,0.0,125804.0,99.87
service_other,125972.0,0.0,0.0,121613.0,96.54
service_pm_dump,125972.0,0.0,0.0,125967.0,100.0
service_pop_2,125972.0,0.0,0.0,125894.0,99.94
service_pop_3,125972.0,0.0,0.0,125708.0,99.79
service_printer,125972.0,0.0,0.0,125903.0,99.95
service_private,125972.0,0.0,0.0,104119.0,82.65
service_red_i,125972.0,0.0,0.0,125964.0,99.99
service_remote_job,125972.0,0.0,0.0,125894.0,99.94
service_rje,125972.0,0.0,0.0,125886.0,99.93
service_shell,125972.0,0.0,0.0,125907.0,99.95
service_smtp,125972.0,0.0,0.0,118659.0,94.19
service_sql_net,125972.0,0.0,0.0,125727.0,99.81
service_ssh,125972.0,0.0,0.0,125661.0,99.75
service_sunrpc,125972.0,0.0,0.0,125591.0,99.7
service_supdup,125972.0,0.0,0.0,125428.0,99.57
service_systat,125972.0,0.0,0.0,125495.0,99.62
service_telnet,125972.0,0.0,0.0,123619.0,98.13
service_tftp_u,125972.0,0.0,0.0,125969.0,100.0
service_tim_i,125972.0,0.0,0.0,125964.0,99.99
service_time,125972.0,0.0,0.0,125318.0,99.48
service_urh_i,125972.0,0.0,0.0,125962.0,99.99
service_urp_i,125972.0,0.0,0.0,125370.0,99.52
service_uucp,125972.0,0.0,0.0,125192.0,99.38
service_uucp_path,125972.0,0.0,0.0,125283.0,99.45
service_vmnet,125972.0,0.0,0.0,125355.0,99.51
service_whois,125972.0,0.0,0.0,125279.0,99.45
flag_REJ,125972.0,0.0,0.0,114739.0,91.08
flag_RSTO,125972.0,0.0,0.0,124410.0,98.76
flag_RSTOS0,125972.0,0.0,0.0,125869.0,99.92
flag_RSTR,125972.0,0.0,0.0,123551.0,98.08
flag_S0,125972.0,0.0,0.0,91121.0,72.33
flag_S1,125972.0,0.0,0.0,125607.0,99.71
flag_S2,125972.0,0.0,0.0,125845.0,99.9
flag_S3,125972.0,0.0,0.0,125923.0,99.96
flag_SF,125972.0,0.0,1.0,74944.0,59.49
flag_SH,125972.0,0.0,0.0,125701.0,99.78
attack_buffer_overflow,125972.0,0.0,0.0,125942.0,99.98
attack_ftp_write,125972.0,0.0,0.0,125964.0,99.99
attack_guess_passwd,125972.0,0.0,0.0,125919.0,99.96
attack_imap,125972.0,0.0,0.0,125961.0,99.99
attack_ipsweep,125972.0,0.0,0.0,122373.0,97.14
attack_land,125972.0,0.0,0.0,125954.0,99.99
attack_loadmodule,125972.0,0.0,0.0,125963.0,99.99
attack_multihop,125972.0,0.0,0.0,125965.0,99.99
attack_neptune,125972.0,0.0,0.0,84758.0,67.28
attack_nmap,125972.0,0.0,0.0,124479.0,98.81
attack_normal,125972.0,0.0,1.0,67342.0,53.46
attack_perl,125972.0,0.0,0.0,125969.0,100.0
attack_phf,125972.0,0.0,0.0,125968.0,100.0
attack_pod,125972.0,0.0,0.0,125771.0,99.84
attack_portsweep,125972.0,0.0,0.0,123041.0,97.67
attack_rootkit,125972.0,0.0,0.0,125962.0,99.99
attack_satan,125972.0,0.0,0.0,122339.0,97.12
attack_smurf,125972.0,0.0,0.0,123326.0,97.9
attack_spy,125972.0,0.0,0.0,125970.0,100.0
attack_teardrop,125972.0,0.0,0.0,125080.0,99.29
attack_warezclient,125972.0,0.0,0.0,125082.0,99.29
